sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D21-0074,Linear,GRCh38,0.0014868,0.0453477,0.9985132,0.9531655,0.0453477,0.9855242,0.0002986,0.0078160
D21-0075,Linear,GRCh38,0.0010436,0.0487317,0.9989564,0.9502248,0.0487317,0.9855116,0.0003104,0.0076434
D21-0076,Linear,GRCh38,0.0012014,0.0433555,0.9987986,0.9554431,0.0433555,0.9868600,0.0002821,0.0075854
D21-0077,Linear,GRCh38,0.0012310,0.0441509,0.9987690,0.9546181,0.0441509,0.9861698,0.0003347,0.0079555
D21-0078,Linear,GRCh38,0.0012126,0.0466310,0.9987874,0.9521564,0.0466310,0.9855519,0.0002881,0.0076078
D21-0079,Linear,GRCh38,0.0012786,0.0433960,0.9987214,0.9553254,0.0433960,0.9867295,0.0002646,0.0077777
D21-0083,Linear,GRCh38,0.0008952,0.0447335,0.9991048,0.9543713,0.0447335,0.9872917,0.0002847,0.0075487
D21-0084,Linear,GRCh38,0.0009936,0.0458375,0.9990064,0.9531690,0.0458375,0.9859608,0.0003248,0.0076579
D21-0085,Linear,GRCh38,0.0008389,0.0456586,0.9991611,0.9535025,0.0456586,0.9878834,0.0002458,0.0075394
D22-0006,Linear,GRCh38,0.0010283,0.0474928,0.9989717,0.9514789,0.0474928,0.9880254,0.0002319,0.0071413
D22-0007,Linear,GRCh38,0.0005968,0.0275922,0.9994032,0.9718110,0.0275922,0.9911301,0.0003828,0.0066020
D22-0008,Linear,GRCh38,0.0008839,0.0430029,0.9991161,0.9561132,0.0430029,0.9883144,0.0003876,0.0083946
D22-0015,Linear,GRCh38,0.0008077,0.0482870,0.9991923,0.9509054,0.0482870,0.9886485,0.0003201,0.0065293
D22-0017,Linear,GRCh38,0.0008333,0.0487560,0.9991667,0.9504107,0.0487560,0.9889941,0.0002578,0.0061857
D22-0018,Linear,GRCh38,0.0019189,0.0437687,0.9980811,0.9543124,0.0437687,0.9887356,0.0002588,0.0062450
D22-0049,Linear,GRCh38,0.1734041,0.0377543,0.8265959,0.7888416,0.0377543,0.8165991,0.0002669,0.0066254
D22-0050,Linear,GRCh38,0.0008543,0.0478103,0.9991457,0.9513354,0.0478103,0.9861351,0.0003570,0.0073797
D22-0056,Linear,GRCh38,0.0010229,0.0468708,0.9989771,0.9521064,0.0468708,0.9871719,0.0003026,0.0069347
D22-0060,Linear,GRCh38,0.0009400,0.0452665,0.9990600,0.9537935,0.0452665,0.9869749,0.0003026,0.0072741
D22-0074,Linear,GRCh38,0.0010190,0.0425089,0.9989810,0.9564721,0.0425089,0.9873929,0.0003067,0.0074136
D22-0075,Linear,GRCh38,0.0009285,0.0460050,0.9990715,0.9530665,0.0460050,0.9867701,0.0002984,0.0076778
D22-0080,Linear,GRCh38,0.0009308,0.0436555,0.9990692,0.9554137,0.0436555,0.9871418,0.0002794,0.0081389
D22-0081,Linear,GRCh38,0.0008490,0.0468142,0.9991511,0.9523369,0.0468142,0.9860457,0.0003526,0.0087357
D22-0082,Linear,GRCh38,0.0008362,0.0456757,0.9991638,0.9534881,0.0456757,0.9869111,0.0003234,0.0086975
D22-0088,Linear,GRCh38,0.0011604,0.0463137,0.9988397,0.9525260,0.0463137,0.9877898,0.0003159,0.0084971
D22-0089,Linear,GRCh38,0.0009664,0.0471356,0.9990336,0.9518980,0.0471356,0.9866014,0.0002701,0.0082185
D22-0109,Linear,GRCh38,0.0008842,0.0443271,0.9991158,0.9547887,0.0443271,0.9879834,0.0002491,0.0076835
D22-0110,Linear,GRCh38,0.0009928,0.0453805,0.9990072,0.9536267,0.0453805,0.9874942,0.0002442,0.0075697
D22-0119,Linear,GRCh38,0.0010519,0.0465430,0.9989481,0.9524051,0.0465430,0.9864915,0.0002524,0.0083980
D22-0159,Linear,GRCh38,0.0009415,0.0425099,0.9990585,0.9565486,0.0425099,0.9883293,0.0002579,0.0070513
D22-0161,Linear,GRCh38,0.0008623,0.0447102,0.9991377,0.9544276,0.0447102,0.9868207,0.0003030,0.0074360
D22-0162,Linear,GRCh38,0.0008272,0.0423909,0.9991728,0.9567819,0.0423909,0.9884156,0.0002582,0.0075336
D22-0170,Linear,GRCh38,0.0006239,0.0414254,0.9993761,0.9579507,0.0414254,0.9898939,0.0002597,0.0076955
D23-0058,Linear,GRCh38,0.0007931,0.0476557,0.9992069,0.9515512,0.0476557,0.9859440,0.0002901,0.0067365
D23-0059,Linear,GRCh38,0.0007710,0.0481736,0.9992290,0.9510553,0.0481736,0.9864717,0.0003167,0.0066216
D23-0060,Linear,GRCh38,0.0006568,0.0420530,0.9993432,0.9572902,0.0420530,0.9875568,0.0002758,0.0066245
DGS-20-210,Linear,GRCh38,0.0005440,0.0457398,0.9994560,0.9537161,0.0457398,0.9867072,0.0002951,0.0055686
D09-468,HPRC,T2T-CHM13,0.0047977,0.0460962,0.9952023,0.9423668,0.0460962,0.9789685,0.0059316,0.0003870
D12-880,HPRC,T2T-CHM13,0.0056909,0.0588467,0.9943091,0.9408094,0.0588467,0.9731751,0.0058539,0.0004261
D12-881,HPRC,T2T-CHM13,0.0057073,0.0602150,0.9942927,0.9393479,0.0602150,0.9761924,0.0047603,0.0004395
D12-928,HPRC,T2T-CHM13,0.0060256,0.0652541,0.9939744,0.9352770,0.0652541,0.9708429,0.0064734,0.0004338
D13-708,HPRC,T2T-CHM13,0.0054160,0.0505399,0.9945840,0.9381232,0.0505399,0.9760602,0.0035751,0.0003515
D13-944,HPRC,T2T-CHM13,0.0047445,0.0469954,0.9952555,0.9419517,0.0469954,0.9811514,0.0046866,0.0003428
D14-0589,HPRC,T2T-CHM13,0.0054278,0.0618412,0.9945722,0.9415016,0.0618412,0.9729305,0.0059826,0.0005597
D15-0055,HPRC,T2T-CHM13,0.0048588,0.0431077,0.9951412,0.9452294,0.0431077,0.9892777,0.0012982,0.0003584
D15-1048,HPRC,T2T-CHM13,0.0054135,0.0463466,0.9945865,0.9399856,0.0463466,0.9872880,0.0018152,0.0003777
D15-1050,HPRC,T2T-CHM13,0.0049535,0.0444456,0.9950465,0.9427943,0.0444456,0.9861210,0.0024176,0.0003567
D15-1762,HPRC,T2T-CHM13,0.0057235,0.0494179,0.9942765,0.9378263,0.0494179,0.9750109,0.0071838,0.0003872
D15-1768,HPRC,T2T-CHM13,0.0048719,0.0451864,0.9951281,0.9436699,0.0451864,0.9773430,0.0066201,0.0004197
D16-0208,HPRC,T2T-CHM13,0.0047899,0.0480100,0.9952101,0.9407840,0.0480100,0.9794721,0.0054950,0.0004076
D16-0298,HPRC,T2T-CHM13,0.0052126,0.0459492,0.9947874,0.9442491,0.0459492,0.9773654,0.0034557,0.0003785
D17-0918,HPRC,T2T-CHM13,0.0054057,0.0564297,0.9945943,0.9308625,0.0564297,0.9782597,0.0055974,0.0004121
D18-0051,HPRC,T2T-CHM13,0.0055273,0.0540785,0.9944727,0.9344089,0.0540785,0.9746571,0.0069876,0.0003885
D18-0870,HPRC,T2T-CHM13,0.0057935,0.0536426,0.9942065,0.9342208,0.0536426,0.9732899,0.0074889,0.0003974
D18-1122,HPRC,T2T-CHM13,0.0058440,0.0542021,0.9941560,0.9350281,0.0542021,0.9746838,0.0044280,0.0003572
D18-1921,HPRC,T2T-CHM13,0.0047582,0.0524543,0.9952418,0.9386156,0.0524543,0.9744399,0.0047698,0.0003482
D19-0714,HPRC,T2T-CHM13,0.0052747,0.0508637,0.9947253,0.9384975,0.0508637,0.9762427,0.0039004,0.0003815
